id,trans_after,revenue_after,test_coupon,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
7302,0,0,control,facebook,1,65.99,5,18,nothing
7303,0,0,control,facebook,1,59.49,5,10,nothing
7304,0,0,control,facebook,1,75.99,5,3,nothing
7305,0,0,coupon,instagram,0,0,0,14,something
7306,0,0,control,google,1,40.49,0,3,something
7307,0,0,coupon,google,2,79.49,2,7,something
7308,1,68.99,control,facebook,3,68.99,4,24,nothing
7309,0,0,coupon,google,6,281.96,4,8,nothing
7310,0,0,control,google,5,103.98,4,20,nothing
7311,0,0,control,instagram,2,143.98,0,10,something
7312,2,123.98,control,instagram,3,61.99,1,9,nothing
7313,1,56.392,coupon,facebook,1,70.49,7,11,nothing
7314,0,0,control,instagram,0,0,5,23,nothing
7315,0,0,control,instagram,3,104.97,0,25,something
7316,0,0,control,instagram,2,72.99,5,5,nothing
7317,0,0,coupon,google,2,78.99,6,9,nothing
7318,1,63.49,control,instagram,2,63.49,5,15,something
7319,1,55.192,coupon,instagram,0,0,6,3,something
7320,0,0,control,instagram,0,0,2,5,something
7321,1,61.192,coupon,instagram,3,76.49,4,22,nothing
7322,0,0,coupon,instagram,3,53.99,5,26,nothing
7323,0,0,coupon,facebook,0,0,1,26,nothing
7324,0,0,control,facebook,0,0,4,8,nothing
7325,0,0,control,instagram,2,149.98,3,21,nothing
7326,0,0,coupon,google,2,133.98,4,16,nothing
7327,0,0,coupon,google,3,211.96,2,15,nothing
7328,0,0,coupon,instagram,0,0,4,20,nothing
7329,0,0,coupon,google,7,123.98,7,14,nothing
7330,0,0,control,instagram,0,0,4,16,something
7331,0,0,control,instagram,0,0,0,2,nothing
7332,0,0,control,google,0,0,3,1,nothing
7333,0,0,coupon,google,2,54.49,4,20,something
7334,0,0,control,instagram,3,74.49,3,14,nothing
7335,0,0,coupon,google,3,75.99,2,13,nothing
7336,0,0,coupon,other,12,118.98,4,13,nothing
7337,0,0,control,google,2,63.99,4,7,nothing
7338,0,0,control,google,0,0,1,19,nothing
7339,0,0,control,google,0,0,7,19,nothing
7340,0,0,coupon,facebook,2,59.99,3,5,nothing
7341,0,0,coupon,google,0,0,0,20,nothing
7342,0,0,control,google,3,59.49,0,16,something
7343,0,0,control,facebook,3,46.49,2,13,nothing
7344,0,0,coupon,google,2,103.98,1,22,nothing
7345,0,0,coupon,google,3,70.99,3,3,nothing
7346,0,0,control,instagram,1,68.99,5,21,nothing
7347,0,0,coupon,google,0,0,0,10,nothing
7348,0,0,control,facebook,0,0,6,16,nothing
7349,1,42.392,coupon,facebook,1,52.99,4,5,something
7350,1,68.99,control,instagram,6,206.97,1,4,nothing
7351,0,0,coupon,google,2,62.99,7,13,something
7352,0,0,control,google,9,60.99,0,9,nothing
7353,0,0,control,google,1,46.99,6,26,something
7354,0,0,coupon,google,3,48.99,6,14,something
7355,0,0,control,google,0,0,1,13,nothing
7356,1,49.592,coupon,other,6,61.99,4,13,nothing
7357,0,0,coupon,facebook,4,40.49,5,8,nothing
7358,0,0,coupon,facebook,4,66.49,0,15,something
7359,0,0,control,google,5,67.49,5,21,something
7360,0,0,control,instagram,4,88.99,6,4,something
7361,0,0,coupon,google,0,0,1,8,nothing
7362,0,0,control,referral,0,0,0,9,something
7363,0,0,coupon,facebook,1,85.99,7,9,something
7364,1,68.49,control,instagram,0,0,2,19,nothing
7365,0,0,control,google,0,0,2,14,nothing
7366,0,0,control,google,2,46.99,6,11,nothing
7367,0,0,coupon,google,1,80.99,1,17,nothing
7368,0,0,coupon,google,1,65.49,5,11,something
7369,0,0,control,instagram,6,57.99,2,13,nothing
7370,0,0,control,facebook,8,70.99,3,13,nothing
7371,0,0,coupon,google,0,0,4,2,nothing
7372,0,0,control,other,1,70.99,6,10,something
7373,1,51.192,coupon,referral,6,63.99,2,3,something
7374,0,0,coupon,google,0,0,5,11,nothing
7375,0,0,coupon,google,4,64.49,7,17,nothing
7376,0,0,control,google,5,55.99,6,10,nothing
7377,0,0,control,google,2,120.98,1,13,nothing
7378,0,0,coupon,google,1,58.49,5,18,nothing
7379,0,0,coupon,google,4,71.49,4,7,nothing
7380,0,0,coupon,google,11,121.98,4,13,nothing
7381,0,0,coupon,instagram,1,56.99,7,7,nothing
7382,0,0,coupon,instagram,1,52.99,3,2,nothing
7383,0,0,coupon,instagram,0,0,1,4,nothing
7384,1,70.99,control,instagram,4,141.98,1,16,nothing
7385,0,0,coupon,google,0,0,4,13,nothing
7386,1,64.792,coupon,referral,0,0,3,4,nothing
7387,0,0,coupon,google,0,0,4,8,nothing
7388,0,0,coupon,facebook,1,73.49,3,14,nothing
7389,0,0,control,google,3,61.99,5,28,nothing
7390,0,0,coupon,facebook,0,0,1,10,nothing
7391,0,0,control,google,2,57.49,2,19,nothing
7392,0,0,coupon,google,0,0,0,21,nothing
7393,0,0,coupon,google,3,63.99,5,1,something
7394,0,0,coupon,instagram,1,115.98,6,17,nothing
7395,0,0,control,other,1,70.99,7,3,nothing
7396,0,0,coupon,instagram,5,123.98,3,14,something
7397,0,0,control,google,1,181.47,4,1,nothing
7398,1,57.49,control,google,0,0,2,19,nothing
7399,0,0,control,other,1,48.99,3,12,nothing
7400,0,0,control,google,0,0,4,17,nothing
7401,0,0,coupon,referral,3,169.47,6,21,nothing
7402,0,0,coupon,google,1,127.98,4,12,nothing
7403,0,0,control,google,1,100.98,4,3,nothing
7404,0,0,control,google,2,64.49,6,10,nothing
7405,0,0,control,google,1,126.98,4,20,something
7406,0,0,control,google,2,94.98,4,12,nothing
7407,1,53.192,coupon,instagram,2,66.49,4,19,something
7408,0,0,control,google,2,71.99,4,22,nothing
7409,0,0,control,facebook,0,0,0,20,something
7410,0,0,control,instagram,0,0,3,19,something
7411,0,0,coupon,google,3,172.47,7,11,nothing
7412,0,0,coupon,facebook,1,81.99,4,3,nothing
7413,0,0,control,facebook,4,72.99,4,4,nothing
7414,0,0,control,facebook,0,0,0,15,nothing
7415,0,0,control,facebook,0,0,0,23,nothing
7416,0,0,control,google,0,0,2,32,nothing
7417,0,0,coupon,instagram,1,118.98,6,8,nothing
7418,0,0,control,google,0,0,6,8,nothing
7419,0,0,control,facebook,0,0,4,24,nothing
7420,0,0,coupon,instagram,1,73.99,5,17,nothing
7421,0,0,control,instagram,1,35.99,0,12,nothing
7422,0,0,control,google,1,51.99,0,19,nothing
7423,0,0,control,facebook,2,59.49,0,15,something
7424,0,0,control,facebook,0,0,4,17,nothing
7425,0,0,coupon,instagram,1,44.49,7,18,nothing
7426,0,0,coupon,google,1,60.49,5,18,nothing
7427,0,0,control,instagram,1,132.98,6,15,nothing
7428,0,0,coupon,facebook,0,0,0,19,nothing
7429,0,0,control,google,1,75.99,1,15,something
7430,0,0,coupon,instagram,1,138.98,4,14,nothing
7431,0,0,coupon,instagram,0,0,5,14,something
7432,0,0,control,google,0,0,4,19,something
7433,0,0,coupon,google,0,0,2,12,something
7434,1,52.49,control,instagram,0,0,3,22,something
7435,2,92.784,coupon,instagram,10,173.97,3,21,nothing
7436,0,0,control,instagram,0,0,2,18,nothing
7437,0,0,control,instagram,0,0,5,22,nothing
7438,1,62.99,control,facebook,0,0,0,15,nothing
7439,0,0,coupon,google,2,75.99,1,19,something
7440,1,39.192,coupon,facebook,5,48.99,2,32,something
7441,0,0,coupon,instagram,1,179.97,3,13,nothing
7442,0,0,control,google,2,58.99,5,6,nothing
7443,0,0,coupon,facebook,1,116.98,2,5,nothing
7444,0,0,control,google,5,170.97,2,21,nothing
7445,0,0,coupon,referral,1,131.98,6,21,nothing
7446,0,0,coupon,facebook,0,0,2,20,something
7447,0,0,coupon,google,0,0,7,13,something
7448,0,0,control,facebook,1,44.99,0,18,nothing
7449,0,0,coupon,facebook,0,0,4,18,nothing
7450,0,0,coupon,instagram,2,65.99,4,21,nothing
7451,0,0,control,facebook,3,66.49,3,16,nothing
7452,0,0,control,instagram,0,0,3,19,nothing
7453,0,0,control,google,5,55.49,2,2,something
7454,0,0,coupon,google,0,0,0,15,something
7455,1,50.392,coupon,facebook,2,62.99,1,17,something
7456,0,0,coupon,google,0,0,7,16,nothing
7457,0,0,coupon,instagram,2,150.98,6,23,nothing
7458,0,0,control,google,2,139.98,2,12,nothing
7459,0,0,coupon,instagram,0,0,1,2,nothing
7460,0,0,control,instagram,4,79.99,4,24,nothing
7461,1,57.99,control,google,2,115.98,4,12,nothing
7462,0,0,control,instagram,0,0,6,23,nothing
7463,0,0,control,google,0,0,4,10,nothing
7464,0,0,coupon,facebook,2,50.99,5,21,nothing
7465,0,0,coupon,instagram,1,248.97,0,3,nothing
7466,0,0,coupon,instagram,1,71.99,5,17,nothing
7467,0,0,control,referral,3,68.49,1,1,something
7468,0,0,coupon,instagram,1,214.47,4,12,nothing
7469,0,0,control,facebook,1,75.99,6,2,nothing
7470,0,0,control,referral,0,0,6,3,something
7471,0,0,control,facebook,2,44.99,4,17,nothing
7472,0,0,coupon,referral,0,0,7,9,nothing
7473,0,0,coupon,google,5,78.99,6,16,nothing
7474,0,0,coupon,google,1,58.99,6,4,nothing
7475,0,0,control,google,0,0,0,11,nothing
7476,0,0,control,instagram,1,52.99,4,16,something
7477,0,0,control,facebook,4,51.49,1,16,nothing
7478,0,0,control,google,1,149.96,6,16,nothing
7479,0,0,control,instagram,1,153.98,3,20,nothing
7480,0,0,coupon,google,1,54.99,5,2,something
7481,0,0,control,facebook,0,0,7,17,nothing
7482,0,0,control,google,0,0,3,6,something
7483,0,0,control,google,0,0,5,16,something
7484,0,0,coupon,google,3,173.97,4,14,nothing
7485,2,155.98,control,google,9,155.98,0,18,something
7486,0,0,coupon,instagram,1,173.97,1,14,nothing
7487,0,0,control,instagram,9,123.98,0,8,something
7488,0,0,control,google,3,58.49,2,24,nothing
7489,1,48.49,control,instagram,10,96.98,6,16,nothing
7490,0,0,coupon,google,1,66.99,0,20,nothing
7491,0,0,coupon,instagram,3,59.99,4,18,nothing
7492,0,0,coupon,instagram,2,62.99,0,9,nothing
7493,0,0,control,facebook,0,0,6,12,nothing
7494,0,0,coupon,instagram,4,61.99,4,16,nothing
7495,0,0,coupon,google,0,0,1,4,something
7496,0,0,control,google,4,57.49,0,18,nothing
7497,1,77.99,control,instagram,10,77.99,3,2,something
7498,0,0,coupon,google,0,0,6,23,nothing
7499,0,0,coupon,referral,0,0,5,20,nothing
7500,0,0,control,google,1,63.99,0,15,something
7501,0,0,coupon,facebook,5,54.99,7,10,nothing
7502,1,82.99,control,instagram,3,82.99,0,6,something
7503,0,0,control,facebook,0,0,1,10,nothing
7504,0,0,coupon,facebook,0,0,1,9,something
7505,0,0,control,google,0,0,0,10,nothing
7506,0,0,coupon,referral,1,42.49,1,15,nothing
7507,0,0,control,instagram,1,135.98,2,12,something
7508,0,0,coupon,google,1,226.47,0,22,nothing
7509,0,0,coupon,facebook,1,40.49,3,16,nothing
7510,1,54.99,control,facebook,9,54.99,3,11,something
7511,0,0,control,google,0,0,2,17,nothing
7512,0,0,control,google,0,0,1,10,nothing
7513,0,0,control,facebook,3,69.98,6,26,nothing
7514,0,0,control,other,4,62.99,5,17,nothing
7515,0,0,control,google,1,58.99,1,9,something
7516,0,0,coupon,instagram,1,64.99,4,9,nothing
7517,1,50.392,coupon,facebook,3,62.99,3,20,something
7518,0,0,coupon,google,6,55.99,5,19,nothing
7519,0,0,coupon,instagram,4,130.98,5,24,nothing
7520,0,0,coupon,google,2,60.99,6,12,nothing
7521,0,0,control,google,0,0,3,13,nothing
7522,0,0,coupon,google,0,0,2,7,something
7523,2,97.584,coupon,instagram,10,243.96,0,6,nothing
7524,0,0,control,facebook,1,63.49,1,19,something
7525,0,0,coupon,instagram,0,0,3,25,nothing
7526,0,0,coupon,google,0,0,4,20,something
7527,2,153.98,control,facebook,9,76.99,5,9,nothing
7528,0,0,control,referral,0,0,5,6,nothing
7529,0,0,control,google,0,0,6,13,nothing
7530,0,0,coupon,google,0,0,6,1,nothing
7531,0,0,coupon,google,3,82.99,6,10,nothing
7532,0,0,coupon,google,3,54.99,5,15,nothing
7533,0,0,coupon,instagram,5,60.99,5,22,nothing
7534,0,0,coupon,facebook,8,59.49,7,11,nothing
7535,0,0,control,facebook,0,0,2,19,nothing
7536,0,0,control,instagram,0,0,0,5,nothing
7537,0,0,coupon,facebook,0,0,4,17,nothing
7538,0,0,control,google,4,67.99,1,21,nothing
7539,0,0,control,google,0,0,3,14,nothing
7540,0,0,control,facebook,1,45.99,1,7,something
7541,0,0,control,instagram,0,0,4,12,nothing
7542,0,0,coupon,google,2,61.49,2,16,something
7543,0,0,coupon,facebook,0,0,6,7,nothing
7544,1,55.99,control,other,0,0,1,18,something
7545,0,0,control,google,2,73.99,2,12,nothing
7546,0,0,control,google,2,209.97,4,12,nothing
7547,0,0,coupon,instagram,0,0,3,13,nothing
7548,0,0,control,google,1,46.99,0,10,something
7549,0,0,control,instagram,0,0,4,12,nothing
7550,0,0,coupon,facebook,0,0,0,5,nothing
7551,0,0,coupon,google,0,0,1,13,nothing
7552,0,0,control,google,3,81.98,6,18,nothing
7553,0,0,coupon,instagram,3,70.49,0,25,nothing
7554,0,0,control,instagram,1,53.49,0,18,something
7555,0,0,coupon,instagram,0,0,2,11,something
7556,0,0,coupon,instagram,0,0,4,9,something
7557,0,0,control,google,5,67.99,1,11,nothing
7558,0,0,coupon,instagram,2,63.49,4,15,nothing
7559,0,0,control,google,1,49.49,3,16,nothing
7560,0,0,control,google,1,61.99,1,13,something
7561,0,0,coupon,instagram,0,0,6,20,nothing
7562,0,0,coupon,facebook,1,42.99,4,21,nothing
7563,0,0,coupon,instagram,1,149.98,7,10,something
7564,0,0,control,google,2,111.98,7,19,something
7565,0,0,coupon,google,2,58.99,2,18,something
7566,0,0,control,instagram,2,41.49,5,25,nothing
7567,0,0,control,google,0,0,3,24,nothing
7568,0,0,control,facebook,0,0,3,4,nothing
7569,0,0,coupon,google,0,0,6,19,nothing
7570,0,0,coupon,facebook,3,91.98,6,2,nothing
7571,0,0,coupon,instagram,1,123.98,1,15,something
7572,1,61.99,control,instagram,0,0,4,25,nothing
7573,0,0,coupon,other,2,81.99,0,19,nothing
7574,0,0,coupon,instagram,1,60.49,1,16,something
7575,1,56.99,control,google,8,56.99,4,14,something
7576,0,0,coupon,instagram,0,0,6,18,nothing
7577,1,50.392,coupon,instagram,0,0,0,23,something
7578,1,48.49,control,instagram,0,0,1,4,nothing
7579,0,0,control,facebook,2,63.99,2,15,nothing
7580,0,0,control,instagram,4,40.49,6,7,nothing
7581,1,50.792,coupon,google,0,0,0,14,something
7582,0,0,coupon,google,0,0,6,18,something
7583,0,0,coupon,instagram,0,0,5,19,something
7584,0,0,control,google,5,71.99,1,2,nothing
7585,0,0,coupon,google,2,109.98,7,16,something
7586,0,0,control,google,2,53.99,2,20,nothing
7587,0,0,control,google,1,65.99,1,11,nothing
7588,0,0,coupon,google,0,0,5,14,nothing
7589,0,0,control,instagram,4,63.99,5,12,nothing
7590,1,46.392,coupon,instagram,0,0,1,8,nothing
7591,0,0,control,google,0,0,1,23,nothing
7592,0,0,control,instagram,0,0,0,4,nothing
7593,0,0,coupon,google,0,0,5,18,nothing
7594,0,0,coupon,referral,2,125.98,4,9,something
7595,0,0,control,facebook,1,65.49,6,13,nothing
7596,0,0,coupon,facebook,1,121.98,4,12,nothing
7597,0,0,coupon,facebook,0,0,5,14,nothing
7598,0,0,control,instagram,7,113.98,7,16,nothing
7599,0,0,coupon,google,1,53.99,5,13,nothing
7600,0,0,control,google,2,51.49,0,7,something
7601,0,0,coupon,instagram,3,176.97,1,4,nothing
7602,0,0,control,google,4,57.49,2,23,nothing
7603,0,0,coupon,google,3,65.99,0,14,something
7604,0,0,control,instagram,5,114.98,3,3,nothing
7605,0,0,coupon,google,3,48.49,5,2,nothing
7606,0,0,control,google,5,218.97,5,3,something
7607,0,0,coupon,facebook,1,144.98,1,21,nothing
7608,0,0,control,instagram,1,138.98,1,15,nothing
7609,0,0,coupon,google,2,58.99,0,6,nothing
7610,0,0,control,instagram,4,58.99,7,5,nothing
7611,0,0,control,facebook,2,125.98,5,8,something
7612,0,0,coupon,google,0,0,4,1,something
7613,1,35.192,coupon,instagram,0,0,0,18,nothing
7614,0,0,coupon,google,2,149.98,6,15,something
7615,0,0,control,instagram,0,0,7,14,nothing
7616,0,0,coupon,facebook,0,0,5,14,something
7617,0,0,control,google,3,53.49,1,11,something
7618,0,0,control,google,2,57.49,5,20,nothing
7619,0,0,coupon,instagram,1,66.99,5,16,nothing
7620,0,0,coupon,instagram,3,160.47,0,26,nothing
7621,0,0,coupon,google,0,0,5,22,nothing
7622,0,0,control,referral,4,80.99,6,15,nothing
7623,0,0,control,google,3,82.99,3,27,nothing
7624,0,0,coupon,instagram,1,130.98,4,17,nothing
7625,0,0,control,google,0,0,4,22,nothing
7626,2,95.984,coupon,google,19,59.99,0,6,something
7627,0,0,coupon,google,0,0,5,9,nothing
7628,0,0,control,instagram,0,0,0,12,nothing
7629,0,0,control,instagram,3,116.98,7,17,nothing
7630,1,52.792,coupon,instagram,3,65.99,0,5,nothing
7631,0,0,coupon,google,0,0,0,18,nothing
7632,0,0,coupon,facebook,2,57.99,3,10,something
7633,0,0,control,google,2,137.98,6,13,nothing
7634,0,0,coupon,instagram,6,41.49,7,9,something
7635,0,0,coupon,google,0,0,5,18,nothing
7636,0,0,control,google,1,57.49,0,14,nothing
7637,0,0,coupon,instagram,2,83.98,0,17,nothing
7638,0,0,coupon,instagram,0,0,3,28,nothing
7639,0,0,control,google,10,55.99,5,7,nothing
7640,0,0,coupon,google,3,42.99,0,15,nothing
7641,0,0,control,google,0,0,5,9,nothing
7642,0,0,coupon,google,2,49.99,3,19,nothing
7643,0,0,control,facebook,1,157.98,2,1,nothing
7644,0,0,coupon,google,2,64.99,0,17,nothing
7645,0,0,control,google,2,154.47,5,19,something
7646,0,0,coupon,facebook,3,51.49,3,12,nothing
7647,0,0,coupon,facebook,1,57.99,2,25,nothing
7648,0,0,control,google,0,0,6,18,nothing
7649,1,50.99,control,instagram,0,0,6,8,nothing
7650,0,0,control,google,1,122.98,5,19,nothing
7651,0,0,control,instagram,3,63.99,0,25,nothing
7652,0,0,coupon,google,4,55.99,3,19,nothing
7653,0,0,coupon,referral,8,113.98,5,12,nothing
7654,0,0,coupon,google,1,56.99,4,22,nothing
7655,0,0,control,google,0,0,6,16,nothing
7656,0,0,coupon,google,3,146.98,2,23,nothing
7657,0,0,coupon,facebook,2,50.99,2,21,nothing
7658,0,0,coupon,google,0,0,4,11,something
7659,0,0,control,facebook,0,0,1,7,nothing
7660,0,0,control,facebook,0,0,7,19,something
7661,0,0,coupon,referral,0,0,1,20,nothing
7662,1,50.392,coupon,google,12,62.99,1,9,nothing
7663,0,0,control,facebook,1,73.99,3,18,nothing
7664,0,0,coupon,instagram,2,65.49,6,19,nothing
7665,0,0,control,facebook,1,138.98,5,14,something
7666,0,0,control,google,0,0,5,1,nothing
7667,0,0,control,instagram,1,60.99,5,15,nothing
7668,1,45.592,coupon,instagram,2,56.99,4,9,something
7669,3,127.176,coupon,instagram,2,52.99,2,16,something
7670,0,0,coupon,facebook,0,0,5,10,nothing
7671,0,0,coupon,facebook,2,66.99,3,14,nothing
7672,0,0,control,instagram,1,55.49,6,19,nothing
7673,0,0,control,google,0,0,1,19,something
7674,0,0,control,google,2,97.98,5,26,nothing
7675,0,0,coupon,google,6,95.98,1,18,nothing
7676,0,0,coupon,instagram,0,0,0,2,nothing
7677,0,0,control,google,0,0,0,18,nothing
7678,0,0,control,instagram,0,0,0,15,nothing
7679,0,0,control,google,3,73.99,4,4,something
7680,0,0,control,facebook,4,45.99,6,8,nothing
7681,0,0,control,facebook,2,54.49,5,19,nothing
7682,0,0,control,instagram,1,78.99,5,18,nothing
7683,0,0,coupon,google,2,48.99,6,1,nothing
7684,0,0,control,google,3,123.98,6,16,nothing
7685,0,0,coupon,instagram,0,0,2,5,nothing
7686,0,0,control,instagram,1,132.98,4,9,nothing
7687,1,50.99,control,facebook,3,101.98,3,16,something
7688,0,0,coupon,instagram,0,0,2,14,something
7689,0,0,control,facebook,0,0,6,12,nothing
7690,0,0,control,instagram,0,0,0,19,nothing
7691,0,0,control,google,1,125.98,2,17,nothing
7692,0,0,coupon,google,8,42.49,7,16,nothing
7693,0,0,coupon,instagram,2,54.99,0,15,nothing
7694,0,0,coupon,facebook,0,0,2,19,nothing
7695,0,0,coupon,google,5,279.96,5,13,nothing
7696,0,0,coupon,facebook,0,0,6,7,nothing
7697,1,62.49,control,instagram,4,124.98,0,25,nothing
7698,0,0,coupon,google,1,62.99,4,2,nothing
7699,0,0,control,other,3,50.49,6,20,nothing
7700,0,0,control,google,1,68.99,5,19,nothing
7701,0,0,coupon,google,3,72.99,1,8,something
7702,0,0,control,google,0,0,1,13,nothing
7703,0,0,coupon,google,0,0,4,16,nothing
7704,0,0,coupon,google,12,64.49,1,12,nothing
7705,0,0,coupon,google,1,141.98,0,19,something
7706,0,0,coupon,facebook,4,63.49,2,10,something
7707,0,0,coupon,other,1,251.96,0,9,nothing
7708,0,0,control,google,0,0,6,16,nothing
7709,0,0,coupon,instagram,0,0,5,4,nothing
7710,0,0,control,instagram,1,194.97,4,2,something
7711,0,0,control,instagram,3,50.99,2,21,nothing
7712,0,0,coupon,facebook,2,47.99,5,5,nothing
7713,1,50.99,control,instagram,8,152.97,4,15,something
7714,0,0,control,instagram,0,0,1,3,nothing
7715,0,0,coupon,instagram,3,41.49,1,12,nothing
7716,0,0,coupon,google,0,0,4,10,something
7717,0,0,control,google,2,72.99,3,14,something
7718,0,0,control,instagram,4,52.49,6,13,nothing
7719,0,0,control,google,0,0,4,9,something
7720,0,0,control,instagram,0,0,0,10,something
7721,0,0,coupon,google,2,59.99,2,13,nothing
7722,0,0,control,facebook,0,0,6,13,nothing
7723,0,0,control,google,1,59.49,1,8,something
7724,0,0,control,instagram,0,0,3,4,nothing
7725,0,0,control,google,0,0,3,24,nothing
7726,0,0,coupon,facebook,3,46.99,4,12,something
7727,0,0,control,instagram,1,72.99,5,7,nothing
7728,0,0,control,google,2,179.98,2,22,nothing
7729,0,0,control,google,6,64.99,4,6,something
7730,0,0,control,facebook,0,0,6,10,nothing
7731,0,0,control,google,0,0,4,21,nothing
7732,0,0,coupon,google,8,259.96,5,13,nothing
7733,0,0,control,facebook,2,32.99,4,1,nothing
7734,0,0,control,google,3,59.99,2,17,nothing
7735,0,0,coupon,other,3,188.97,3,12,something
7736,0,0,control,google,1,100.98,5,5,something
7737,0,0,control,instagram,2,50.99,6,19,nothing
7738,0,0,control,google,5,56.99,5,20,something
7739,0,0,control,facebook,0,0,2,12,something
7740,0,0,control,facebook,3,70.99,2,16,nothing
7741,0,0,control,instagram,0,0,2,19,nothing
7742,0,0,control,google,0,0,0,21,nothing
7743,0,0,coupon,google,0,0,5,15,nothing
7744,0,0,control,instagram,1,49.49,4,5,something
7745,0,0,coupon,facebook,4,68.99,2,20,nothing
7746,0,0,coupon,google,0,0,2,13,nothing
7747,0,0,control,facebook,1,99.98,6,21,nothing
7748,1,55.992,coupon,instagram,3,69.99,5,10,something
7749,0,0,coupon,google,5,66.99,2,3,nothing
7750,0,0,control,google,0,0,2,7,nothing
7751,1,49.592,coupon,instagram,1,61.99,5,14,something
7752,1,68.792,coupon,facebook,2,343.96,4,1,something
7753,0,0,coupon,instagram,2,127.98,6,11,nothing
7754,0,0,control,google,4,88.99,0,1,nothing
7755,2,85.98,control,facebook,9,85.98,0,15,something
7756,0,0,coupon,facebook,2,70.99,0,25,nothing
7757,3,151.176,coupon,instagram,2,62.99,7,16,something
7758,0,0,coupon,facebook,0,0,5,21,nothing
7759,0,0,control,google,0,0,6,26,nothing
7760,0,0,control,google,1,202.47,0,14,nothing
7761,0,0,control,other,1,67.99,1,11,something
7762,0,0,control,instagram,3,68.49,1,1,something
7763,0,0,control,instagram,7,60.99,6,20,nothing
7764,0,0,coupon,google,2,102.98,3,17,nothing
7765,0,0,control,instagram,0,0,2,21,nothing
7766,0,0,coupon,google,1,109.98,2,1,nothing
7767,0,0,control,google,3,62.99,6,4,nothing
7768,2,127.98,control,facebook,6,63.99,0,25,nothing
7769,0,0,control,instagram,5,122.98,2,21,nothing
7770,0,0,control,google,0,0,1,14,something
7771,0,0,control,facebook,4,171.98,7,15,nothing
7772,0,0,coupon,facebook,3,199.47,6,17,nothing
7773,1,53.99,control,instagram,2,53.99,2,25,something
7774,0,0,control,google,2,149.97,5,2,nothing
7775,0,0,control,instagram,0,0,1,17,nothing
7776,0,0,coupon,google,0,0,0,5,nothing
7777,0,0,coupon,google,0,0,0,10,nothing
7778,0,0,coupon,instagram,2,69.99,0,1,something
7779,0,0,control,google,0,0,1,14,nothing
7780,0,0,coupon,facebook,2,83.99,4,17,nothing
7781,0,0,coupon,google,2,54.49,2,12,something
7782,0,0,control,google,0,0,3,7,nothing
7783,1,64.99,control,google,5,64.99,2,21,something
7784,0,0,control,facebook,2,55.99,0,15,nothing
7785,1,77.99,control,referral,4,77.99,5,11,nothing
7786,0,0,control,google,1,111.98,6,4,something
7787,0,0,coupon,google,11,130.98,5,17,nothing
7788,0,0,coupon,instagram,0,0,4,17,nothing
7789,0,0,control,facebook,0,0,1,10,nothing
7790,0,0,coupon,facebook,2,197.97,0,13,something
7791,0,0,control,google,3,79.49,7,18,nothing
7792,0,0,coupon,google,7,72.99,2,12,nothing
7793,0,0,coupon,google,2,37.49,2,29,nothing
7794,0,0,coupon,instagram,0,0,1,18,nothing
7795,0,0,coupon,instagram,5,71.99,6,14,nothing
7796,0,0,coupon,instagram,6,47.49,5,23,nothing
7797,0,0,coupon,google,1,170.97,4,12,nothing
7798,0,0,control,referral,2,54.99,2,23,something
7799,0,0,control,instagram,0,0,4,19,nothing
7800,0,0,coupon,instagram,2,137.98,4,19,nothing
7801,0,0,coupon,google,4,77.99,1,14,nothing
7802,1,55.99,control,google,2,55.99,0,19,nothing
7803,0,0,coupon,instagram,4,55.99,5,12,nothing
7804,0,0,coupon,facebook,3,74.49,5,17,nothing
7805,0,0,control,google,2,118.98,1,6,nothing
7806,0,0,control,other,0,0,3,9,something
7807,0,0,coupon,google,0,0,6,6,nothing
7808,1,66.99,control,facebook,0,0,0,19,nothing
7809,0,0,coupon,google,1,94.98,1,23,nothing
7810,0,0,coupon,google,1,101.98,0,5,nothing
7811,0,0,control,facebook,0,0,0,15,something
7812,0,0,control,facebook,1,60.49,7,14,nothing
7813,0,0,coupon,referral,0,0,4,21,something
7814,0,0,control,instagram,0,0,5,16,nothing
7815,0,0,control,instagram,2,60.99,4,8,something
7816,0,0,coupon,google,0,0,2,12,nothing
7817,0,0,coupon,google,0,0,5,27,nothing
7818,0,0,control,google,0,0,0,1,something
7819,0,0,control,instagram,2,211.47,6,16,something
7820,1,63.992,coupon,instagram,0,0,3,11,something
7821,0,0,coupon,google,1,215.97,2,17,something
7822,0,0,coupon,referral,2,60.49,5,13,nothing
7823,0,0,control,referral,13,62.99,6,14,nothing
7824,0,0,coupon,facebook,5,51.49,0,1,something
7825,0,0,coupon,google,0,0,0,3,something
7826,0,0,coupon,google,2,143.98,4,10,nothing
7827,0,0,coupon,facebook,10,68.99,0,11,nothing
7828,1,44.792,coupon,instagram,1,55.99,5,26,something
7829,0,0,control,google,0,0,0,20,nothing
7830,0,0,coupon,instagram,5,46.99,6,22,nothing
7831,0,0,control,facebook,2,55.99,2,10,something
7832,0,0,control,instagram,3,62.99,4,26,nothing
7833,0,0,coupon,google,4,53.49,2,13,nothing
7834,0,0,control,instagram,0,0,2,16,nothing
7835,0,0,coupon,google,5,56.49,5,4,nothing
7836,0,0,control,instagram,0,0,4,22,nothing
